index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 16:55:36.279, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:55:46.280, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:55:56.280, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:56:06.281, 95 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:56:16.282, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:56:26.283, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:56:36.284, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:56:46.284, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:56:56.285, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:57:06.286, 96 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:57:16.287, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:57:26.287, 96 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:57:36.288, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:57:46.289, 95 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:57:56.290, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:58:06.291, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:58:16.291, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:58:26.292, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:58:36.293, 96 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:58:46.294, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
0, 2024/05/13 16:58:56.295, 100 %, 32768 MiB, 20881 MiB, 11620 MiB
