index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 16:59:23.192, 98 %, 32768 MiB, 11917 MiB, 20584 MiB
0, 2024/05/13 16:59:33.193, 96 %, 32768 MiB, 12005 MiB, 20496 MiB
0, 2024/05/13 16:59:43.194, 98 %, 32768 MiB, 11609 MiB, 20892 MiB
0, 2024/05/13 16:59:53.195, 100 %, 32768 MiB, 12111 MiB, 20390 MiB
0, 2024/05/13 17:00:03.196, 100 %, 32768 MiB, 10675 MiB, 21826 MiB
0, 2024/05/13 17:00:13.197, 97 %, 32768 MiB, 12701 MiB, 19800 MiB
0, 2024/05/13 17:00:23.200, 98 %, 32768 MiB, 10749 MiB, 21752 MiB
0, 2024/05/13 17:00:33.204, 100 %, 32768 MiB, 11409 MiB, 21092 MiB
0, 2024/05/13 17:00:43.206, 98 %, 32768 MiB, 12703 MiB, 19798 MiB
0, 2024/05/13 17:00:53.207, 98 %, 32768 MiB, 11525 MiB, 20976 MiB
0, 2024/05/13 17:01:03.209, 98 %, 32768 MiB, 11863 MiB, 20638 MiB
0, 2024/05/13 17:01:13.214, 96 %, 32768 MiB, 13633 MiB, 18868 MiB
0, 2024/05/13 17:01:23.216, 98 %, 32768 MiB, 10977 MiB, 21524 MiB
0, 2024/05/13 17:01:33.217, 100 %, 32768 MiB, 11645 MiB, 20856 MiB
0, 2024/05/13 17:01:43.218, 99 %, 32768 MiB, 13277 MiB, 19224 MiB
0, 2024/05/13 17:01:53.219, 98 %, 32768 MiB, 10973 MiB, 21528 MiB
0, 2024/05/13 17:02:03.220, 98 %, 32768 MiB, 12269 MiB, 20232 MiB
0, 2024/05/13 17:02:13.221, 100 %, 32768 MiB, 12647 MiB, 19854 MiB
0, 2024/05/13 17:02:23.224, 100 %, 32768 MiB, 11349 MiB, 21152 MiB
0, 2024/05/13 17:02:33.225, 96 %, 32768 MiB, 12793 MiB, 19708 MiB
0, 2024/05/13 17:02:43.226, 98 %, 32768 MiB, 11981 MiB, 20520 MiB
0, 2024/05/13 17:02:53.227, 14 %, 32768 MiB, 13529 MiB, 18972 MiB
0, 2024/05/13 17:03:03.229, 9 %, 32768 MiB, 13529 MiB, 18972 MiB
0, 2024/05/13 17:03:13.230, 5 %, 32768 MiB, 13529 MiB, 18972 MiB
0, 2024/05/13 17:03:23.232, 0 %, 32768 MiB, 13529 MiB, 18972 MiB
0, 2024/05/13 17:03:33.233, 98 %, 32768 MiB, 10133 MiB, 22368 MiB
0, 2024/05/13 17:03:43.234, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:53.235, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:03.236, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:13.238, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:23.239, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:33.239, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:43.240, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:53.241, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:03.242, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:13.243, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:23.244, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:33.244, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:43.245, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:53.246, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:03.247, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:13.248, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:23.249, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:33.250, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:43.250, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:53.251, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:03.252, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:13.253, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:23.254, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:33.255, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:43.256, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:53.257, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:03.258, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:13.259, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:23.260, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:33.260, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:43.261, 0 %, 32768 MiB, 32501 MiB, 0 MiB
