index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/15 14:48:47.907, 100 %, 32768 MiB, 11045 MiB, 21456 MiB
0, 2024/05/15 14:48:57.935, 98 %, 32768 MiB, 11057 MiB, 21444 MiB
0, 2024/05/15 14:49:07.936, 0 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:17.938, 5 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:27.939, 4 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:37.941, 0 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:47.943, 93 %, 32768 MiB, 8171 MiB, 24330 MiB
0, 2024/05/15 14:49:57.944, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:07.945, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:17.946, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:27.948, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:37.949, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:47.950, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:57.950, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:51:07.951, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:51:17.952, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:51:27.953, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:51:37.954, 0 %, 32768 MiB, 27407 MiB, 5094 MiB
0, 2024/05/15 14:51:47.956, 0 %, 32768 MiB, 22591 MiB, 9910 MiB
0, 2024/05/15 14:51:57.956, 4 %, 32768 MiB, 16857 MiB, 15644 MiB
0, 2024/05/15 14:52:07.958, 97 %, 32768 MiB, 16585 MiB, 15916 MiB
0, 2024/05/15 14:52:17.959, 97 %, 32768 MiB, 16507 MiB, 15994 MiB
0, 2024/05/15 14:52:27.960, 97 %, 32768 MiB, 16307 MiB, 16194 MiB
0, 2024/05/15 14:52:37.961, 95 %, 32768 MiB, 16207 MiB, 16294 MiB
0, 2024/05/15 14:52:47.962, 97 %, 32768 MiB, 16207 MiB, 16294 MiB
0, 2024/05/15 14:52:57.963, 97 %, 32768 MiB, 16207 MiB, 16294 MiB
0, 2024/05/15 14:53:07.965, 97 %, 32768 MiB, 16207 MiB, 16294 MiB
0, 2024/05/15 14:53:17.966, 96 %, 32768 MiB, 16207 MiB, 16294 MiB
0, 2024/05/15 14:53:27.967, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/15 14:53:37.969, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/15 14:53:47.977, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/15 14:53:57.978, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
